Timestamp,Score,Versions,block3,FOI3,block2,FOI2,block1,FOI1
3/18/25 17:24,,Option 2,,,Junior,10,,
3/18/25 17:26,,Option 1,,,,,Junior,9
3/18/25 17:47,,Option 3,Junior,5,,,,
3/18/25 17:48,,Option 1,,,,,Junior,9
3/18/25 17:48,,Option 2,,,Junior,10,,
3/18/25 17:49,,Option 1,,,,,Junior,8
3/18/25 17:50,,Option 1,,,,,Junior,9
3/18/25 17:52,,Option 2,,,Junior,10,,
3/18/25 17:54,,Option 1,,,,,Junior,8
3/18/25 17:55,,Option 1,,,,,Junior,10
3/18/25 17:56,,Option 1,,,,,Junior,8
3/18/25 17:56,,Option 2,,,Junior,8,,
3/18/25 18:02,,Option 2,,,Sophomore,9,,
3/18/25 18:06,,Option 2,,,Senior,8,,
3/18/25 18:07,,Option 3,Sophomore,4,,,,
3/18/25 19:04,,Option 3,Junior,3,,,,
3/18/25 19:05,,Option 3,Sophomore,4,,,,
3/18/25 19:05,,Option 1,,,,,Junior,9
3/18/25 19:06,,Option 3,Junior,3,,,,
3/18/25 19:06,,Option 1,,,,,Sophomore,10
3/18/25 19:10,,Option 3,Freshmen,5,,,,
3/18/25 19:11,,Option 2,,,Sophomore,10,,
3/18/25 19:11,,Option 1,,,,,Sophomore,9
3/18/25 19:11,,Option 1,,,,,Freshmen,7
3/18/25 19:12,,Option 1,,,,,Sophomore,10
3/18/25 19:16,,Option 1,,,,,Freshmen,9
3/18/25 19:16,,Option 2,,,Sophomore,10,,